,dataset,k,Average Mean Error,Average stdDev
155,2,49,2.145878066624759,2.4164707451571443
156,2,50,2.1482443535135842,2.4225995581492055
157,2,51,2.151112103012208,2.4284605709278777
158,2,52,2.154881616524582,2.430461973624161
159,2,53,2.156930460327696,2.4367817259750426
160,2,54,2.158260306803983,2.4407169688499546
161,2,55,2.1609205650656085,2.4447650411987407
162,2,56,2.165578216300539,2.4489500234850814
163,2,57,2.1685384086610386,2.453911687672112
164,2,58,2.1699304613379953,2.4566727491876024
165,2,59,2.1719440491045727,2.462291427784252
166,2,60,2.174448882547012,2.465585777775828
167,2,61,2.1764355512684035,2.4713631413953587
168,2,62,2.181111190923767,2.4768229565169144
169,2,63,2.1827155476939195,2.4780296634100143
170,2,64,2.1862133461282425,2.4825785375952174
171,2,65,2.189973078280696,2.4869682474622468
172,2,66,2.193416288438965,2.491066027880192
173,2,67,2.1962224295922974,2.492408559848397
174,2,68,2.198783469647405,2.495819576852963
175,2,69,2.2046537811019955,2.4984560861989267
176,2,70,2.207249161137466,2.5013056213132616
177,2,71,2.210923630013818,2.5076184912141875
178,2,72,2.2136911877182914,2.5114002570458718
179,2,73,2.2162763462733257,2.5133327159168637
180,2,74,2.220971230919046,2.5191614294389715
181,2,75,2.2242952830020117,2.5212540824315743
182,2,76,2.2272761764740556,2.5253866718501805
183,2,77,2.229927324597095,2.5273756050771197
184,2,78,2.230327442616654,2.5296151944565652
185,2,79,2.2323296020936825,2.534368440053771
186,2,80,2.2343146926809547,2.5373627764744358
187,2,81,2.237591504269566,2.5398996803799365
188,2,82,2.2390065795254825,2.5416014722583986
189,2,83,2.240740909464536,2.5434600498008706
190,2,84,2.242591489530996,2.5456444587898313
191,2,85,2.2452061823126512,2.5478717420511883
192,2,86,2.2477112705485944,2.553078989592056
193,2,87,2.2489626531410747,2.5555103329866826
194,2,88,2.250419614262274,2.557795820154035
195,2,89,2.2529022949737643,2.561867029440442
196,2,90,2.2552496715113723,2.5650535190829666
197,2,91,2.25811933674834,2.5684383684249887
198,2,92,2.260292134416324,2.5713889736656226
199,2,93,2.262621174192837,2.5752364493428197
200,2,94,2.2657684148549766,2.5773322855235508
201,2,95,2.2687121071276057,2.581259908309099
202,2,96,2.2702662012142283,2.584764268218627
203,2,97,2.272032410832181,2.588652009241305
204,2,98,2.2742913548804373,2.5915303483373866
205,2,99,2.2776742673689236,2.5954320915500886
206,2,100,2.2803775283264143,2.5965626153052526
207,2,101,2.283595457552399,2.599162260776972
208,2,102,2.2861884721111254,2.6009121430849613
209,2,103,2.289050034953012,2.6033614116895727
210,2,104,2.2902666076993365,2.6051453483771034
211,2,105,2.2935476058143296,2.6084293860736465
212,2,106,2.295376275140707,2.611068274596904
213,3,1,2.902076676248427,3.3439019964502417
214,3,2,2.573479585954402,2.7767863079003194
215,3,3,2.4749511334863725,2.570481474291145
216,3,4,2.4219870458679242,2.499899251489155
217,3,5,2.3904339816723263,2.492306674899257
218,3,6,2.3710012191797696,2.4846655156400277
219,3,7,2.350013601749775,2.4622416511611376
220,3,8,2.330838098104167,2.457302114689743
221,3,9,2.305117373308874,2.44237749400638
222,3,10,2.286110716448742,2.411080138541761
223,3,11,2.267199850915952,2.3683621829813837
224,3,12,2.2489983860877882,2.3439352355281926
225,3,13,2.2268012182854378,2.318631751999901
226,3,14,2.2133755533906108,2.3062791349502305
227,3,15,2.201651062075471,2.2873720876281998
228,3,16,2.192484459509434,2.2783165686124747
229,3,17,2.1862574409443214,2.2721302895288837
