,dataset,k,Average Mean Error,Average stdDev
180,2,74,2.212787491712367,2.4852886121176594
181,2,75,2.2167043858132005,2.4878476760998707
182,2,76,2.2208643712869565,2.491461731014186
183,2,77,2.222483867346395,2.4923106966290973
184,2,78,2.2224368168469946,2.4956003786119916
185,2,79,2.22308681450994,2.5000575444825333
186,2,80,2.2245428882135503,2.502763179106693
187,2,81,2.226861858721628,2.50494839225927
188,2,82,2.227581472779318,2.507050092508865
189,2,83,2.2299432342607766,2.5078086554228367
190,2,84,2.230159983529809,2.5104753733990504
191,2,85,2.23322120139022,2.51200700605623
192,2,86,2.2354513248234453,2.5176792543022346
193,2,87,2.2375741588589735,2.520651219397788
194,2,88,2.238711474728865,2.522863261308448
195,2,89,2.240775097129913,2.5267041142446165
196,2,90,2.243339493199833,2.5305522073888516
197,2,91,2.2448054461451354,2.5335303245009633
198,2,92,2.246579394260089,2.5363746363728032
199,2,93,2.2493181906233626,2.5398075897916046
200,2,94,2.253013125781767,2.5408079889160455
201,2,95,2.2560844407709557,2.545076551307119
202,2,96,2.2574718137551613,2.5477042919204758
203,2,97,2.2594757614579906,2.552540789919705
204,2,98,2.2617129410820302,2.5554652854490634
205,2,99,2.2660318003124917,2.5601419899561213
206,2,100,2.268796187053866,2.559809262036576
207,2,101,2.2723831278668034,2.5629496629666497
208,2,102,2.275573881596673,2.56490377273692
209,2,103,2.277917081880162,2.568425276895108
210,2,104,2.279360041142181,2.570464042069227
211,2,105,2.2825912997408673,2.5735743550638572
212,2,106,2.2839647278477586,2.576071282655094
213,3,1,2.9420690006999997,3.3881797743999997
214,3,2,2.6128097818000002,2.8464936904
215,3,3,2.5061973342,2.6337035859
216,3,4,2.4463843644999996,2.5495485076999995
217,3,5,2.3917234027,2.5377711097000004
218,3,6,2.3744177091,2.5070260655000003
219,3,7,2.3537156388,2.4668886801
220,3,8,2.3415531352,2.4602470802
221,3,9,2.315074795,2.4563872352000002
222,3,10,2.2866049566,2.4173456745000004
223,3,11,2.2623386711,2.3865920141000005
224,3,12,2.2415472486000003,2.3609450039000004
225,3,13,2.2269734534000003,2.3358255569
226,3,14,2.2119790878999996,2.3124853066
227,3,15,2.2029540872,2.2894307416999995
228,3,16,2.1924599023999995,2.2821697719000005
229,3,17,2.1862843361000004,2.2738133838
230,3,18,2.1798874397000003,2.2727822158
231,3,19,2.1735010683,2.2742010114
232,3,20,2.1725660521999997,2.2736085218
233,3,21,2.1644775000000003,2.2738218046
234,3,22,2.1586666567000004,2.2618552276
235,3,23,2.1537505721,2.2666085448999995
236,3,24,2.1400825394000003,2.2499834003999997
237,3,25,2.1341754679,2.2451921022
238,3,26,2.1369710344999997,2.2479995094999996
239,3,27,2.1376141554,2.2553281678
240,3,28,2.1394402916,2.2616923726
241,3,29,2.1362353364000004,2.2624686001
242,3,30,2.1342967589,2.268592828
243,3,31,2.1320380742,2.2766223484
244,3,32,2.1287878653,2.2841979645999997
245,3,33,2.1299699722,2.2886173888999997
246,3,34,2.1277424357999997,2.2890460532000003
247,3,35,2.1279076114,2.3008208549
248,3,36,2.1247775147000003,2.3079069481
