,Series,k,Mean,stdDev
5413,3,12,2.317747765,2.73439265
5414,4,12,2.039734437,1.69776258
5415,5,12,1.956889002,2.601039105
5416,6,12,2.374288467,2.74673863
5417,7,12,1.951182387,1.712743936
5418,8,12,2.424831804,2.65868389
5419,9,12,2.363477784,1.95284125
5420,10,12,2.432412775,2.468507485
5421,1,13,1.800384187,1.896888597
5422,2,13,2.556459977,2.986161761
5423,3,13,2.302203877,2.696046485
5424,4,13,2.032992385,1.714109433
5425,5,13,1.899297102,2.549990802
5426,6,13,2.356125522,2.703726537
5427,7,13,1.923897747,1.648952655
5428,8,13,2.418040136,2.65837209
5429,9,13,2.312238038,1.911434874
5430,10,13,2.46857858,2.455375247
5431,1,14,1.814514017,1.882110049
5432,2,14,2.524789758,2.992539072
5433,3,14,2.297289893,2.732149622
5434,4,14,1.969355319,1.693592091
5435,5,14,1.889521939,2.542176902
5436,6,14,2.357447402,2.686361678
5437,7,14,1.896433333,1.553451028
5438,8,14,2.399563474,2.648844442
5439,9,14,2.309890687,1.948574674
5440,10,14,2.455545006,2.491183428
5441,1,15,1.756353404,1.809531852
5442,2,15,2.513684049,2.97568929
5443,3,15,2.30643809,2.709078234
5444,4,15,1.949164206,1.649576853
5445,5,15,1.857456691,2.493082201
5446,6,15,2.345569099,2.698577277
5447,7,15,1.882885962,1.513278058
5448,8,15,2.378503074,2.547146249
5449,9,15,2.294872778,1.955975992
5450,10,15,2.441881021,2.518497153
5451,1,16,1.731183153,1.767251549
5452,2,16,2.49057508,2.985153727
5453,3,16,2.315120904,2.742938584
5454,4,16,1.924158561,1.640357472
5455,5,16,1.854987897,2.505219531
5456,6,16,2.353255738,2.685366801
5457,7,16,1.853451633,1.437205616
5458,8,16,2.396363314,2.540915051
5459,9,16,2.273752959,1.953897124
5460,10,16,2.431816895,2.520642746
5461,1,17,1.73343,1.751743556
5462,2,17,2.488021776,2.991648523
5463,3,17,2.313704178,2.763055974
5464,4,17,1.912588566,1.622732777
5465,5,17,1.871500157,2.474843803
5466,6,17,2.37036998,2.705913625
